DATE,CPGRLE01ATM657N
1966-02-01,0.274394033728664
1966-03-01,0.160825301196619
1966-04-01,0.0128636891360096
1966-05-01,0.208907996756468
1966-06-01,-0.0499202379765988
1966-07-01,0.239306705164927
1966-08-01,0.306168712017891
1966-09-01,0.580814839593994
1966-10-01,0.197275058057109
1966-11-01,0.444945532431518
1966-12-01,0.223640695660591
1967-01-01,2.12637645084484
1967-02-01,0.209174459083974
1967-03-01,0.196440797569283
1967-04-01,0.0466615395558784
1967-05-01,0.0123695600952258
1967-06-01,0.115705245198155
1967-07-01,0.0885914660688611
1967-08-01,-0.0916517838746646
1967-09-01,1.80830645400379
1967-10-01,0.00016220784966426
1967-11-01,0.1570555646336
1967-12-01,0.072489494537417
1968-01-01,0.113577987109512
1968-02-01,0.835700128490494
1968-03-01,0.311830873890254
1968-04-01,0.380201862878388
1968-05-01,0.498528606354868
1968-06-01,0.300645603306567
1968-07-01,0.0804162118090053
1968-08-01,-0.148573798623579
1968-09-01,1.07833756317433
1968-10-01,0.10313830775213
1968-11-01,0.0863813382390776
1968-12-01,0.147415675491229
1969-01-01,0.515913364461099
1969-02-01,0.23421086641409
1969-03-01,0.0593080622946896
1969-04-01,0.151642066422024
1969-05-01,0.349531257154871
1969-06-01,-0.0914063224726774
1969-07-01,0.0457651358885464
1969-08-01,0.150935711645852
1969-09-01,0.355070733180679
1969-10-01,0.396389850320034
1969-11-01,0.494080205989393
1969-12-01,0.264184306384096
1970-01-01,0.141459684188204
1970-02-01,0.312265831664301
1970-03-01,0.44724219242735
1970-04-01,0.446990131802754
1970-05-01,0.310594407046458
1970-06-01,0.116058653377213
1970-07-01,0.261258531626008
1970-08-01,0.685522208680077
1970-09-01,0.517116185919683
1970-10-01,0.315520547494973
1970-11-01,0.366255035824149
1970-12-01,0.424777170023073
1971-01-01,0.0773701372388943
1971-02-01,0.682496944447544
1971-03-01,0.340817148120492
1971-04-01,0.69081784407806
1971-05-01,0.437887984848874
1971-06-01,0.626975720219688
1971-07-01,0.581755989689998
1971-08-01,0.332562331845677
1971-09-01,0.57534073574328
1971-10-01,0.25468885233748
1971-11-01,0.281626346335238
1971-12-01,0.0413805321194577
1972-01-01,0.903637861488394
1972-02-01,0.868787600646902
1972-03-01,1.03895501904056
1972-04-01,0.248606613555053
1972-05-01,0.60364747515192
1972-06-01,0.495889968780591
1972-07-01,-0.0233096632817437
1972-08-01,0.522368542809524
1972-09-01,0.664202933896995
1972-10-01,0.405292421914425
1972-11-01,0.784076376058343
1972-12-01,0.767412322621004
1973-01-01,1.39388517511155
1973-02-01,0.597698888210637
1973-03-01,0.656736046205089
1973-04-01,0.43058163832804
1973-05-01,0.246278704709353
1973-06-01,0.0246802884280307
1973-07-01,0.556586561472032
1973-08-01,0.273314293186035
1973-09-01,0.47198727087551
1973-10-01,1.18424728700184
1973-11-01,0.977555925094354
1973-12-01,0.460639565956762
1974-01-01,1.39264598046882
1974-02-01,0.845598102573755
1974-03-01,1.16338415861885
1974-04-01,1.75377335532882
1974-05-01,0.722372346120383
1974-06-01,0.22592237629601
1974-07-01,0.385499682595308
1974-08-01,0.271035449742188
1974-09-01,0.533056213582396
1974-10-01,1.43907355759133
1974-11-01,1.16658452524389
1974-12-01,0.892815356943366
1975-01-01,1.03658978516198
1975-02-01,1.25008091764168
1975-03-01,0.869791310277152
1975-04-01,0.749670297812977
1975-05-01,0.356385574061639
1975-06-01,-0.170149676563174
1975-07-01,0.188775829713246
1975-08-01,0.652144705022018
1975-09-01,0.66330964152738
1975-10-01,0.526266863178363
1975-11-01,0.296128344492232
1975-12-01,0.238992688302753
1976-01-01,4.72972059302686
1976-02-01,1.04878527055169
1976-03-01,0.569304195951175
1976-04-01,-0.117025637622796
1976-05-01,0.31352772060999
1976-06-01,0.871814964929543
1976-07-01,0.128706634470531
1976-08-01,0.862643387202184
1976-09-01,0.234358808620593
1976-10-01,0.4844279497511
1976-11-01,0.499771949612364
1976-12-01,0.601679673972226
1977-01-01,1.1162874028011
1977-02-01,0.442554375879924
1977-03-01,0.509661809092429
1977-04-01,0.380001843925623
1977-05-01,0.538703777624245
1977-06-01,0.591961511947024
1977-07-01,0.194951333541124
1977-08-01,0.22497141996076
1977-09-01,0.219672715130139
1977-10-01,0.0793329891491352
1977-11-01,0.0387567548107823
1977-12-01,0.249449069792862
1978-01-01,1.10108477417987
1978-02-01,0.321381722245581
1978-03-01,0.156486300507466
1978-04-01,0.207348935471849
1978-05-01,0.137396687242955
1978-06-01,0.0378084459101418
1978-07-01,0.429841008413888
1978-08-01,0.318343367128354
1978-09-01,0.148666331437484
1978-10-01,0.255247344138549
1978-11-01,0.379345241309513
1978-12-01,0.267815516918139
1979-01-01,0.812406534758088
1979-02-01,0.334685338895415
1979-03-01,0.0404456947396739
1979-04-01,0.14436975057246
1979-05-01,0.292917643980459
1979-06-01,0.187902129473393
1979-07-01,0.271353346911141
1979-08-01,0.243580077327497
1979-09-01,0.565517652441351
1979-10-01,0.518472816674726
1979-11-01,0.694827448584381
1979-12-01,0.64495223031015
1980-01-01,0.755538173269134
1980-02-01,0.524551560968709
1980-03-01,0.452584783796411
1980-04-01,0.246167570456448
1980-05-01,0.406979493549956
1980-06-01,0.238890139164526
1980-07-01,0.799818159200887
1980-08-01,-0.0353228023542829
1980-09-01,0.338444447954072
1980-10-01,0.506095812142164
1980-11-01,0.259731265410179
1980-12-01,0.439265470894075
1981-01-01,0.691084134413296
1981-02-01,0.500776657588485
1981-03-01,0.324866588028458
1981-04-01,0.822517254625918
