DATE,CPGRLE01ATQ659N
1967-01-01,4.77778362516885
1967-04-01,4.73599859983594
1967-07-01,4.7743725666542
1967-10-01,5.02042715718202
1968-01-01,3.21752856635645
1968-04-01,4.25656606964796
1968-07-01,4.25224441676422
1968-10-01,3.81983695930277
1969-01-01,3.76117092949266
1969-04-01,2.90945737263881
1969-07-01,2.51365383079498
1969-10-01,2.74437528491707
1970-01-01,2.7657520222032
1970-04-01,3.40623022342557
1970-07-01,4.18483471284824
1970-10-01,4.36416148915972
1971-01-01,4.58449693497398
1971-04-01,5.16042482177075
1971-07-01,5.67134406813718
1971-10-01,5.33082694444894
1972-01-01,6.27883737751099
1972-04-01,6.43639212504845
1972-07-01,5.92728914340624
1972-10-01,6.8289756213658
1973-01-01,7.71289190462111
1973-04-01,7.1176636292412
1973-07-01,7.02938577279728
1973-10-01,7.66210671423855
1974-01-01,7.8702525424548
1974-04-01,10.1674374091377
1974-07-01,10.3214791275668
1974-10-01,10.9417924494603
1975-01-01,11.1254047307765
1975-04-01,9.55004402982483
1975-07-01,9.23955159330484
1975-10-01,7.62596919608383
1976-01-01,10.5031267918473
1976-04-01,9.61286869779143
1976-07-01,10.287375523212
1976-10-01,10.2874126173673
1977-01-01,6.36006835162881
1977-04-01,6.69499187339186
1977-07-01,6.19174298176547
1977-10-01,5.08408298468733
1978-01-01,4.45592717392466
1978-04-01,3.52179653875525
1978-07-01,3.28611195140892
1978-10-01,3.69214755550343
1979-01-01,3.49473418795643
1979-04-01,3.5132855470216
1979-07-01,3.59894111072841
1979-10-01,4.48262103244545
1980-01-01,5.07046907635064
1980-04-01,5.6298181537155
1980-07-01,5.98506642835848
1980-10-01,5.33696467994168
1981-01-01,4.91431383819436
1981-04-01,5.392995400966
1981-07-01,5.37735845661519
1981-10-01,5.28886525005982
1982-01-01,5.58436281534762
1982-04-01,5.5521630503252
1982-07-01,5.96930300109888
1982-10-01,5.83991408547945
1983-01-01,5.12306656794891
1983-04-01,4.17560363784491
1983-07-01,3.82185203337483
1983-10-01,4.03932766986928
1984-01-01,5.60072573391119
1984-04-01,5.61388224883019
1984-07-01,5.43377242743647
1984-10-01,5.21555166106329
1985-01-01,3.72301836873756
1985-04-01,3.75284732073618
1985-07-01,3.62049043695895
1985-10-01,3.54953939344797
1986-01-01,3.83459129106785
1986-04-01,3.72480034459118
1986-07-01,3.78958468646544
1986-10-01,3.27084920979585
1987-01-01,1.85721791512503
1987-04-01,1.98023052785348
1987-07-01,2.7402345800439
1987-10-01,1.83289529700374
1988-01-01,2.64177668593249
1988-04-01,2.53186321071312
1988-07-01,2.71206971410055
1988-10-01,2.71598834551899
1989-01-01,2.99106417744355
1989-04-01,2.75399991427249
1989-07-01,2.60335359655633
1989-10-01,2.46609987614886
1990-01-01,2.55983104609468
1990-04-01,3.05850212698641
1990-07-01,2.94271052220567
1990-10-01,3.01016538279413
1991-01-01,3.36930042581228
1991-04-01,3.15309422660879
1991-07-01,3.44989133172441
1991-10-01,3.64953496209153
1992-01-01,4.12686230015248
1992-04-01,4.42657118630571
1992-07-01,4.38865577979481
1992-10-01,4.42420995206643
1993-01-01,4.52952465757714
1993-04-01,4.36821410662126
1993-07-01,4.00627221292296
1993-10-01,4.19767059977077
1994-01-01,3.59675522550033
1994-04-01,3.2788360773479
1994-07-01,3.25348254584942
1994-10-01,2.92093394587272
1995-01-01,2.6181598417677
1995-04-01,2.55514703309692
1995-07-01,2.14581492721993
1995-10-01,1.80414418509526
1996-01-01,1.41202149699894
1996-04-01,1.36473185349249
1996-07-01,1.52690989992532
1996-10-01,1.75438407309449
1997-01-01,1.41328566046976
1997-04-01,1.40548936738758
1997-07-01,0.281749984466499
1997-10-01,1.32800130036187
1998-01-01,1.16863672270808
1998-04-01,1.26283703825181
1998-07-01,1.22424292583102
1998-10-01,1.1292789878863
1999-01-01,0.885853702836606
1999-04-01,0.717885254757495
1999-07-01,0.64385401010135
1999-10-01,0.678685094184983
2000-01-01,1.05580605678185
2000-04-01,1.51407397243723
2000-07-01,1.95928449396196
2000-10-01,2.08862935204099
2001-01-01,2.4138510674063
2001-04-01,2.58131303012088
2001-07-01,2.74141024788993
2001-10-01,2.71737331612218
2002-01-01,2.21252010635853
2002-04-01,2.34382629642893
2002-07-01,2.17988938840195
2002-10-01,1.8914738673713
2003-01-01,1.8241962937984
2003-04-01,1.30729348897864
2003-07-01,1.26926850884691
2003-10-01,1.24284494481513
2004-01-01,1.45718340955683
2004-04-01,1.64521193092621
2004-07-01,1.77845846096142
2004-10-01,2.22715062160308
2005-01-01,2.53991370698661
2005-04-01,1.98622369858695
2005-07-01,1.39428203845019
2005-10-01,0.852562270182069
2006-01-01,0.300200133422259
2006-04-01,1.03298900366546
2006-07-01,0.966344551816074
2006-10-01,1.36666666666664
2007-01-01,1.46325241104091
2007-04-01,1.61609498680738
2007-07-01,1.61716171617162
2007-10-01,1.77573166721474
2008-01-01,1.60603080957064
2008-04-01,1.75267770204479
2008-07-01,2.14355310165637
2008-10-01,2.26171243941841
2009-01-01,2.22580645161291
2009-04-01,1.91387559808614
2009-07-01,1.58982511923689
2009-10-01,1.35860979462877
2010-01-01,1.2937835279268
2010-04-01,1.40845070422537
2010-07-01,1.37715179968702
2010-10-01,1.5586034912718
2011-01-01,1.80847190192986
2011-04-01,2.46420246420246
2011-07-01,2.66238855309556
2011-10-01,2.46107483676547
2012-01-01,2.1129085506768
2012-04-01,1.94995125121872
2012-07-01,1.8170019467878
2012-10-01,2.48868778280542
2013-01-01,2.45716133204009
